,mean,sd,z,p_2sided
Intercept,-0.7400649397668615,0.1076178561855954,-6.876785749109899,6.121769757783113e-12
sc_sampling,-0.3875344058834372,0.1104085284633592,-3.5100042657669017,0.0004480995051523
sc_TEI_bs,0.6112629674155695,0.112918197056446,5.413325605172467,6.186484569070673e-08
sc_TEI_delta,0.4792207554485529,0.1090015091820982,4.3964598200926295,1.1003071726856106e-05
sc_TEI_bs:sc_TEI_delta,0.0346458339503701,0.1213136345983286,0.2855889535012534,0.7751929650709881
sc_PEI_bs,0.1536080514734046,0.1085750227504074,1.4147641656637666,0.1571376539543565
sc_PEI_delta,-0.2627090592431387,0.1092994590595165,-2.403571449517297,0.0162357939185862
sc_PEI_bs:sc_PEI_delta,0.0624426144663259,0.0938040488586903,0.6656707810170499,0.5056215536208821
sc_TEI_bs:sc_PEI_bs,0.2215332045602398,0.0977040670933752,2.267389794004396,0.0233664244055837
sc_TEI_delta:sc_PEI_delta,-0.2530950548054402,0.1036798745270011,-2.441120380981241,0.0146417731192787
