,mean,sd,z,p_2sided
Intercept,-0.7178619245439908,0.1126266825202222,-6.373817540218305,1.8437984472541302e-10
sc_sampling,-0.3964288451357201,0.1247425552816644,-3.1779759861468073,0.0014830703372092
sc_TEI_bs,0.6199816875448716,0.1182407417443171,5.243384626980056,1.5765740668527428e-07
sc_TEI_delta,0.5109207532354073,0.113429660193984,4.504295898988375,6.6593364704825575e-06
sc_TEI_bs:sc_TEI_delta,0.1929393551630085,0.1157249816357024,1.6672230354753808,0.0954700639023602
sc_PEI_bs,0.4456416626111935,0.1142085290696924,3.901999843980597,9.540121916629118e-05
sc_PEI_delta,-0.3370257101882071,0.1119143258174835,-3.011461738489569,0.0025999316622602
sc_PEI_bs:sc_PEI_delta,-0.0972662186336096,0.1062591601589271,-0.9153678467638258,0.3599985521199849
sc_TEI_bs:sc_PEI_bs,0.1367154064243756,0.1050157729871785,1.301855926357532,0.1929656412998253
sc_TEI_delta:sc_PEI_delta,-0.1936314173138087,0.1056434233886505,-1.8328771550829064,0.0668208417991018
